raw_name,normalized_name
Eureka Math,Eureka Math
Eureka Math2,Eureka Math
Eureka Math Squared,Eureka Math
Great Minds Eureka Math,Eureka Math
Great Minds,Eureka Math
EngageNY,Eureka Math
EngageNY Mathematics,Eureka Math
Eureka Math2 (Great Minds),Eureka Math
Illustrative Mathematics,Illustrative Mathematics
IM,Illustrative Mathematics
IM K-5 Math,Illustrative Mathematics
IM 6-8 Math,Illustrative Mathematics
Open Up Resources,Illustrative Mathematics
Kendall Hunt Illustrative Mathematics,Illustrative Mathematics
Kendall Hunt Illustrative Math,Illustrative Mathematics
Kendall Hunt IM,Illustrative Mathematics
LearnZillion Illustrative Mathematics,Illustrative Mathematics
Imagine Learning Illustrative Mathematics,Illustrative Mathematics
enVision Mathematics,enVision Math
enVision,enVision Math
enVisionmath 2.0,enVision Math
enVision Mathematics Common Core,enVision Math
Savvas enVision Mathematics,enVision Math
Savvas enVision,enVision Math
enVision Math,enVision Math
Into Math,Into Math
HMH Into Math,Into Math
Houghton Mifflin Harcourt Into Math,Into Math
Bridges in Mathematics,Bridges in Mathematics
Bridges,Bridges in Mathematics
Math Learning Center Bridges,Bridges in Mathematics
The Math Learning Center,Bridges in Mathematics
Reveal Math,Reveal Math
McGraw-Hill Reveal Math,Reveal Math
McGraw-Hill Reveal,Reveal Math
Glencoe Math,Reveal Math
McGraw-Hill Education Reveal Math,Reveal Math
Carnegie Learning,Carnegie Learning
Carnegie Math,Carnegie Learning
MATHia,Carnegie Learning
Saxon Math,Saxon Math
Saxon,Saxon Math
Go Math,Go Math
HMH Go Math,Go Math
Houghton Mifflin Harcourt Go Math,Go Math
Connected Mathematics,Connected Mathematics
CMP3,Connected Mathematics
Connected Mathematics Project,Connected Mathematics
Ready Classroom Mathematics,Ready Classroom Mathematics
Curriculum Associates Ready Classroom,Ready Classroom Mathematics
iReady Classroom Mathematics,Ready Classroom Mathematics
i-Ready Classroom Mathematics,Ready Classroom Mathematics
Zearn,Zearn Math
Zearn Math,Zearn Math
Big Ideas Math,Big Ideas Math
Big Ideas Learning,Big Ideas Math
Big Ideas Math: A Common Core Curriculum,Big Ideas Math
SpringBoard Mathematics,SpringBoard Mathematics
College Board SpringBoard,SpringBoard Mathematics
Math in Focus,Math in Focus
Marshall Cavendish Math in Focus,Math in Focus
Singapore Math,Math in Focus
Primary Mathematics,Math in Focus
ORIGO Stepping Stones,ORIGO Stepping Stones
ORIGO,ORIGO Stepping Stones
Stepping Stones,ORIGO Stepping Stones
Investigations in Number Data and Space,Investigations
Investigations 3,Investigations
TERC Investigations,Investigations
My Math,My Math
McGraw-Hill My Math,My Math
Everyday Mathematics,Everyday Mathematics
Everyday Math,Everyday Mathematics
University of Chicago Everyday Mathematics,Everyday Mathematics
Desmos Math,Desmos Math
Desmos Math 6-8,Desmos Math
Desmos Math 6?8,Desmos Math
Desmos Classroom,Desmos Math
Investigations in Number Data and Space 3rd Edition,Investigations
Investigations in Number Data and Space,Investigations
Investigations in Number,Investigations
EdGems Math,EdGems Math
EdGems,EdGems Math
Kendall Hunt Publishing Company,Illustrative Mathematics
Kendall Hunt Publishing,Illustrative Mathematics
Math Expressions,Math Expressions
HMH Math Expressions,Math Expressions
Houghton Mifflin Harcourt Math Expressions,Math Expressions
iReady Classroom,Ready Classroom Mathematics
Core Connections,Core Connections (CPM)
CPM Educational Program,Core Connections (CPM)
CPM,Core Connections (CPM)
HMH Go Math!,Go Math
Carnegie Learning Math Solutions,Carnegie Learning
Investigations in Number Data and Space,Investigations
"Investigations in Number, Data, and Space",Investigations
Ready Mathematics,Ready Classroom Mathematics
i-Ready Classroom Mathematics,Ready Classroom Mathematics
Math Nation,Math Nation
STEMscopes Math,STEMscopes Math
College Preparatory Mathematics,Core Connections (CPM)
